VW, ArtistAndTitle, WeeksAndPeak, Rank, Week
VW 68,Drake| Kanye West| Lil Wayne &amp; Eminem</b><br/>Forever</a>,W 2 | P 68,71,24.01.2010
VW 74,Robbie Williams</b><br/>You Know Me</a>,W 4 | P 72,72,24.01.2010
VW 60,Green Day</b><br/>21 Guns</a>,W 26 | P 13,73,24.01.2010
VW 46,Shakira</b><br/>Did It Again</a>,W 6 | P 29,74,24.01.2010
VW 72,Milow</b><br/>Ayo Technology</a>,W 42 | P 1,75,24.01.2010
VW 1,Ke$ha</b><br/>TiK ToK</a>,W 5 | P 1,1,31.01.2010
VW 6,Aura Dione</b><br/>I Will Love You Monday (365)</a>,W 7 | P 2,2,31.01.2010
neu,Edward Maya &amp; Vika Jigulina</b><br/>Stereo Love</a>,W 1 | P 3,3,31.01.2010
VW 3,Melanie Fiona</b><br/>Monday Morning</a>,W 14 | P 1,4,31.01.2010
VW 2,Lady Gaga</b><br/>Bad Romance</a>,W 11 | P 2,5,31.01.2010
VW 4,Rihanna</b><br/>Russian Roulette</a>,W 10 | P 1,6,31.01.2010
VW 7,Jay-Z + Alicia Keys</b><br/>Empire State Of Mind</a>,W 18 | P 4,7,31.01.2010
VW 5,The Black Eyed Peas</b><br/>Meet Me Halfway</a>,W 14 | P 3,8,31.01.2010
VW 13,Owl City</b><br/>Fireflies</a>,W 6 | P 9,9,31.01.2010
VW 8,The Black Eyed Peas</b><br/>I Gotta Feeling</a>,W 28 | P 1,10,31.01.2010
VW 10,OneRepublic</b><br/>All The Right Moves</a>,W 13 | P 2,11,31.01.2010
VW 11,David Guetta feat. Akon</b><br/>Sexy Bitch</a>,W 25 | P 2,12,31.01.2010
VW 14,Ich + Ich</b><br/>Pflaster</a>,W 9 | P 6,13,31.01.2010
VW 16,Culcha Candela</b><br/>Monsta</a>,W 8 | P 14,14,31.01.2010
VW 9,Gossip</b><br/>Heavy Cross</a>,W 32 | P 2,15,31.01.2010
VW 15,Paloma Faith</b><br/>New York</a>,W 10 | P 15,16,31.01.2010
VW 12,Lady Gaga</b><br/>Paparazzi</a>,W 21 | P 4,17,31.01.2010
VW 40,Jason Derulo</b><br/>Whatcha Say</a>,W 2 | P 18,18,31.01.2010
VW 17,Frauenarzt &amp; Manny Marc</b><br/>Das geht ab! (Wir feiern die ganze Nacht)</a>,W 25 | P 13,19,31.01.2010
VW 19,Keri Hilson</b><br/>I Like</a>,W 5 | P 19,20,31.01.2010
VW 21,Timbaland feat. Nelly Furtado &amp; SoShy</b><br/>Morning After Dark</a>,W 6 | P 21,21,31.01.2010
neu,Alexandra Burke feat. Flo Rida</b><br/>Bad Boys</a>,W 1 | P 22,22,31.01.2010
VW 36,Milow</b><br/>You Don't Know</a>,W 26 | P 8,23,31.01.2010
VW 24,Alicia Keys</b><br/>Doesn't Mean Anything</a>,W 8 | P 5,24,31.01.2010
VW 22,Stress</b><br/>Si loin</a>,W 8 | P 16,25,31.01.2010
VW 20,Robbie Williams</b><br/>Bodies</a>,W 14 | P 1,26,31.01.2010
VW 27,Lady Gaga</b><br/>Poker Face</a>,W 55 | P 1,27,31.01.2010
VW 26,Britney Spears</b><br/>3</a>,W 10 | P 8,28,31.01.2010
VW 18,Agnes</b><br/>Release Me</a>,W 21 | P 5,29,31.01.2010
VW 25,Leona Lewis</b><br/>Happy</a>,W 10 | P 4,30,31.01.2010
VW 33,The Black Eyed Peas</b><br/>Boom Boom Pow</a>,W 40 | P 4,31,31.01.2010
VW 41,Xavier Naidoo</b><br/>Alles kann besser werden</a>,W 13 | P 28,32,31.01.2010
VW 28,OneRepublic</b><br/>Secrets</a>,W 9 | P 23,33,31.01.2010
VW 23,Cascada</b><br/>Evacuate The Dancefloor</a>,W 27 | P 7,34,31.01.2010
VW 39,Muse</b><br/>Undisclosed Desires</a>,W 7 | P 35,35,31.01.2010
VW 37,Muse</b><br/>Uprising</a>,W 23 | P 8,36,31.01.2010
VW 30,David Guetta feat. Kelly Rowland</b><br/>When Love Takes Over</a>,W 38 | P 1,37,31.01.2010
VW 44,Culcha Candela</b><br/>Schöne neue Welt</a>,W 18 | P 27,38,31.01.2010
VW 43,Pitbull</b><br/>I Know You Want Me (Calle Ocho)</a>,W 31 | P 2,39,31.01.2010
VW 51,Stanfour</b><br/>In Your Arms</a>,W 16 | P 21,40,31.01.2010
VW 31,Pitbull</b><br/>Hotel Room Service</a>,W 20 | P 11,41,31.01.2010
VW 29,Mika</b><br/>Rain</a>,W 13 | P 28,42,31.01.2010
VW 38,Guru Josh Project</b><br/>Infinity 2008</a>,W 69 | P 2,43,31.01.2010
VW 34,Marit Larsen</b><br/>If A Song Could Get Me You</a>,W 25 | P 2,44,31.01.2010
VW 54,Agnes</b><br/>On And On</a>,W 11 | P 37,45,31.01.2010
VW 50,Bligg</b><br/>Rosalie</a>,W 65 | P 5,46,31.01.2010
VW 49,Miley Cyrus</b><br/>Party In The U.S.A.</a>,W 15 | P 41,47,31.01.2010
VW 47,P!nk</b><br/>Funhouse</a>,W 15 | P 8,48,31.01.2010
VW 46,Flo Rida feat. Ke$ha</b><br/>Right Round</a>,W 46 | P 2,49,31.01.2010
VW 42,Lily Allen</b><br/>Fuck You</a>,W 34 | P 5,50,31.01.2010
VW 72,Robbie Williams</b><br/>You Know Me</a>,W 5 | P 51,51,31.01.2010
VW 45,Shakira</b><br/>She Wolf</a>,W 20 | P 3,52,31.01.2010
VW 32,Naturi Naughton</b><br/>Fame</a>,W 4 | P 24,53,31.01.2010
neu,Stanfour</b><br/>Wishing You Well</a>,W 1 | P 54,54,31.01.2010
VW 61,Jay Sean feat. Lil Wayne</b><br/>Down</a>,W 14 | P 47,55,31.01.2010
neu,Dada Ante Portas</b><br/>I Would Give You My Love</a>,W 1 | P 56,56,31.01.2010
VW 56,David Guetta feat. Estelle</b><br/>One Love</a>,W 6 | P 48,57,31.01.2010
VW 55,Gossip</b><br/>Love Long Distance</a>,W 3 | P 55,58,31.01.2010
VW 35,Jodlerklub Wiesenberg &amp; Francine Jordi</b><br/>Das Feyr vo dr Sehnsucht</a>,W 56 | P 1,59,31.01.2010
re,Melanie Fiona</b><br/>Give It To Me Right</a>,W 27 | P 5,60,31.01.2010
VW 48,Da Sign &amp; The Opposite</b><br/>Slow Down Take It Easy</a>,W 6 | P 5,61,31.01.2010
VW 69,Beyoncé</b><br/>Sweet Dreams</a>,W 23 | P 16,62,31.01.2010
VW 73,Green Day</b><br/>21 Guns</a>,W 27 | P 13,63,31.01.2010
VW 60,Bligg</b><br/>Signal</a>,W 13 | P 23,64,31.01.2010
VW 53,Coldplay</b><br/>Viva la vida</a>,W 75 | P 5,65,31.01.2010
neu,Die Atzen (Frauenarzt &amp; Manny Marc)</b><br/>Disco Pogo</a>,W 1 | P 66,66,31.01.2010
VW 75,Milow</b><br/>Ayo Technology</a>,W 43 | P 1,67,31.01.2010
VW 62,Silbermond</b><br/>Krieger des Lichts</a>,W 9 | P 62,68,31.01.2010
VW 68,Timbaland Presents OneRepublic</b><br/>Apologize</a>,W 81 | P 1,69,31.01.2010
VW 66,Beyoncé</b><br/>Halo</a>,W 41 | P 4,70,31.01.2010
VW 67,Michael Bublé</b><br/>Haven't Met You Yet</a>,W 11 | P 37,71,31.01.2010
VW 64,Vanessa Paradis</b><br/>Il y a</a>,W 4 | P 56,72,31.01.2010
re,Jena Lee</b><br/>J'aimerais tellement</a>,W 10 | P 50,73,31.01.2010
VW 71,Drake| Kanye West| Lil Wayne &amp; Eminem</b><br/>Forever</a>,W 3 | P 68,74,31.01.2010
re,Bligg</b><br/>Musigg i dä Schwiiz</a>,W 58 | P 9,75,31.01.2010
VW 1,Ke$ha</b><br/>TiK ToK</a>,W 6 | P 1,1,07.02.2010
VW 2,Aura Dione</b><br/>I Will Love You Monday (365)</a>,W 8 | P 2,2,07.02.2010
VW 3,Edward Maya &amp; Vika Jigulina</b><br/>Stereo Love</a>,W 2 | P 3,3,07.02.2010
VW 7,Jay-Z + Alicia Keys</b><br/>Empire State Of Mind</a>,W 19 | P 4,4,07.02.2010
VW 5,Lady Gaga</b><br/>Bad Romance</a>,W 12 | P 2,5,07.02.2010
VW 4,Melanie Fiona</b><br/>Monday Morning</a>,W 15 | P 1,6,07.02.2010
VW 6,Rihanna</b><br/>Russian Roulette</a>,W 11 | P 1,7,07.02.2010
VW 9,Owl City</b><br/>Fireflies</a>,W 7 | P 8,8,07.02.2010
VW 8,The Black Eyed Peas</b><br/>Meet Me Halfway</a>,W 15 | P 3,9,07.02.2010
VW 10,The Black Eyed Peas</b><br/>I Gotta Feeling</a>,W 29 | P 1,10,07.02.2010
neu,Baschi</b><br/>Unsterblich</a>,W 1 | P 11,11,07.02.2010
VW 22,Alexandra Burke feat. Flo Rida</b><br/>Bad Boys</a>,W 2 | P 12,12,07.02.2010
VW 11,OneRepublic</b><br/>All The Right Moves</a>,W 14 | P 2,13,07.02.2010
VW 12,David Guetta feat. Akon</b><br/>Sexy Bitch</a>,W 26 | P 2,14,07.02.2010
VW 14,Culcha Candela</b><br/>Monsta</a>,W 9 | P 14,15,07.02.2010
VW 15,Gossip</b><br/>Heavy Cross</a>,W 33 | P 2,16,07.02.2010
VW 13,Ich + Ich</b><br/>Pflaster</a>,W 10 | P 6,17,07.02.2010
VW 20,Keri Hilson</b><br/>I Like</a>,W 6 | P 18,18,07.02.2010
VW 33,OneRepublic</b><br/>Secrets</a>,W 10 | P 19,19,07.02.2010
VW 18,Jason Derulo</b><br/>Whatcha Say</a>,W 3 | P 18,20,07.02.2010
VW 17,Lady Gaga</b><br/>Paparazzi</a>,W 22 | P 4,21,07.02.2010
VW 16,Paloma Faith</b><br/>New York</a>,W 11 | P 15,22,07.02.2010
VW 24,Alicia Keys</b><br/>Doesn't Mean Anything</a>,W 9 | P 5,23,07.02.2010
VW 70,Beyoncé</b><br/>Halo</a>,W 42 | P 4,24,07.02.2010
VW 21,Timbaland feat. Nelly Furtado &amp; SoShy</b><br/>Morning After Dark</a>,W 7 | P 21,25,07.02.2010
VW 19,Frauenarzt &amp; Manny Marc</b><br/>Das geht ab! (Wir feiern die ganze Nacht)</a>,W 26 | P 13,26,07.02.2010
VW 29,Agnes</b><br/>Release Me</a>,W 22 | P 5,27,07.02.2010
VW 44,Marit Larsen</b><br/>If A Song Could Get Me You</a>,W 26 | P 2,28,07.02.2010
VW 25,Stress</b><br/>Si loin</a>,W 9 | P 16,29,07.02.2010
VW 35,Muse</b><br/>Undisclosed Desires</a>,W 8 | P 30,30,07.02.2010
VW 27,Lady Gaga</b><br/>Poker Face</a>,W 56 | P 1,31,07.02.2010
VW 23,Milow</b><br/>You Don't Know</a>,W 27 | P 8,32,07.02.2010
VW 37,David Guetta feat. Kelly Rowland</b><br/>When Love Takes Over</a>,W 39 | P 1,33,07.02.2010
VW 31,The Black Eyed Peas</b><br/>Boom Boom Pow</a>,W 41 | P 4,34,07.02.2010
VW 42,Mika</b><br/>Rain</a>,W 14 | P 28,35,07.02.2010
VW 36,Muse</b><br/>Uprising</a>,W 24 | P 8,36,07.02.2010
VW 28,Britney Spears</b><br/>3</a>,W 11 | P 8,37,07.02.2010
neu,Christophe Maé</b><br/>Dingue| dingue| dingue</a>,W 1 | P 38,38,07.02.2010
VW 32,Xavier Naidoo</b><br/>Alles kann besser werden</a>,W 14 | P 28,39,07.02.2010
re,Jeff Buckley</b><br/>Hallelujah</a>,W 36 | P 38,40,07.02.2010
VW 71,Michael Bublé</b><br/>Haven't Met You Yet</a>,W 12 | P 37,41,07.02.2010
VW 34,Cascada</b><br/>Evacuate The Dancefloor</a>,W 28 | P 7,42,07.02.2010
VW 40,Stanfour</b><br/>In Your Arms</a>,W 17 | P 21,43,07.02.2010
VW 38,Culcha Candela</b><br/>Schöne neue Welt</a>,W 19 | P 27,44,07.02.2010
VW 43,Guru Josh Project</b><br/>Infinity 2008</a>,W 70 | P 2,45,07.02.2010
VW 26,Robbie Williams</b><br/>Bodies</a>,W 15 | P 1,46,07.02.2010
VW 69,Timbaland Presents OneRepublic</b><br/>Apologize</a>,W 82 | P 1,47,07.02.2010
VW 30,Leona Lewis</b><br/>Happy</a>,W 11 | P 4,48,07.02.2010
VW 66,Die Atzen (Frauenarzt &amp; Manny Marc)</b><br/>Disco Pogo</a>,W 2 | P 49,49,07.02.2010
VW 56,Dada Ante Portas</b><br/>I Would Give You My Love</a>,W 2 | P 50,50,07.02.2010
VW 49,Flo Rida feat. Ke$ha</b><br/>Right Round</a>,W 47 | P 2,51,07.02.2010
VW 39,Pitbull</b><br/>I Know You Want Me (Calle Ocho)</a>,W 32 | P 2,52,07.02.2010
VW 50,Lily Allen</b><br/>Fuck You</a>,W 35 | P 5,53,07.02.2010
VW 41,Pitbull</b><br/>Hotel Room Service</a>,W 21 | P 11,54,07.02.2010
VW 45,Agnes</b><br/>On And On</a>,W 12 | P 37,55,07.02.2010
VW 53,Naturi Naughton</b><br/>Fame</a>,W 5 | P 24,56,07.02.2010
VW 63,Green Day</b><br/>21 Guns</a>,W 28 | P 13,57,07.02.2010
VW 58,Gossip</b><br/>Love Long Distance</a>,W 4 | P 55,58,07.02.2010
VW 51,Robbie Williams</b><br/>You Know Me</a>,W 6 | P 51,59,07.02.2010
VW 47,Miley Cyrus</b><br/>Party In The U.S.A.</a>,W 16 | P 41,60,07.02.2010
VW 57,David Guetta feat. Estelle</b><br/>One Love</a>,W 7 | P 48,61,07.02.2010
VW 52,Shakira</b><br/>She Wolf</a>,W 21 | P 3,62,07.02.2010
VW 62,Beyoncé</b><br/>Sweet Dreams</a>,W 24 | P 16,63,07.02.2010
neu,Cur de Pirate &amp; Julien Doré</b><br/>Pour un infidèle</a>,W 1 | P 64,64,07.02.2010
VW 55,Jay Sean feat. Lil Wayne</b><br/>Down</a>,W 15 | P 47,65,07.02.2010
VW 46,Bligg</b><br/>Rosalie</a>,W 66 | P 5,66,07.02.2010
VW 54,Stanfour</b><br/>Wishing You Well</a>,W 2 | P 54,67,07.02.2010
VW 48,P!nk</b><br/>Funhouse</a>,W 16 | P 8,68,07.02.2010
VW 61,Da Sign &amp; The Opposite</b><br/>Slow Down Take It Easy</a>,W 7 | P 5,69,07.02.2010
VW 65,Coldplay</b><br/>Viva la vida</a>,W 76 | P 5,70,07.02.2010
neu,Lily Allen</b><br/>22 (Twenty Two)</a>,W 1 | P 71,71,07.02.2010
VW 59,Jodlerklub Wiesenberg &amp; Francine Jordi</b><br/>Das Feyr vo dr Sehnsucht</a>,W 57 | P 1,72,07.02.2010
VW 72,Vanessa Paradis</b><br/>Il y a</a>,W 5 | P 56,73,07.02.2010
re,La Roux</b><br/>Bulletproof</a>,W 20 | P 42,74,07.02.2010
VW 67,Milow</b><br/>Ayo Technology</a>,W 44 | P 1,75,07.02.2010
VW 1,Ke$ha</b><br/>TiK ToK</a>,W 7 | P 1,1,14.02.2010
VW 2,Aura Dione</b><br/>I Will Love You Monday (365)</a>,W 9 | P 2,2,14.02.2010
VW 3,Edward Maya &amp; Vika Jigulina</b><br/>Stereo Love</a>,W 3 | P 3,3,14.02.2010
VW 5,Lady Gaga</b><br/>Bad Romance</a>,W 13 | P 2,4,14.02.2010
VW 8,Owl City</b><br/>Fireflies</a>,W 8 | P 5,5,14.02.2010
VW 6,Melanie Fiona</b><br/>Monday Morning</a>,W 16 | P 1,6,14.02.2010
VW 4,Jay-Z + Alicia Keys</b><br/>Empire State Of Mind</a>,W 20 | P 4,7,14.02.2010
VW 9,The Black Eyed Peas</b><br/>Meet Me Halfway</a>,W 16 | P 3,8,14.02.2010
VW 7,Rihanna</b><br/>Russian Roulette</a>,W 12 | P 1,9,14.02.2010
VW 10,The Black Eyed Peas</b><br/>I Gotta Feeling</a>,W 30 | P 1,10,14.02.2010
VW 14,David Guetta feat. Akon</b><br/>Sexy Bitch</a>,W 27 | P 2,11,14.02.2010
VW 20,Jason Derulo</b><br/>Whatcha Say</a>,W 4 | P 12,12,14.02.2010
VW 15,Culcha Candela</b><br/>Monsta</a>,W 10 | P 13,13,14.02.2010
VW 13,OneRepublic</b><br/>All The Right Moves</a>,W 15 | P 2,14,14.02.2010
VW 16,Gossip</b><br/>Heavy Cross</a>,W 34 | P 2,15,14.02.2010
VW 12,Alexandra Burke feat. Flo Rida</b><br/>Bad Boys</a>,W 3 | P 12,16,14.02.2010
VW 22,Paloma Faith</b><br/>New York</a>,W 12 | P 15,17,14.02.2010
VW 17,Ich + Ich</b><br/>Pflaster</a>,W 11 | P 6,18,14.02.2010
VW 18,Keri Hilson</b><br/>I Like</a>,W 7 | P 18,19,14.02.2010
VW 19,OneRepublic</b><br/>Secrets</a>,W 11 | P 19,20,14.02.2010
VW 25,Timbaland feat. Nelly Furtado &amp; SoShy</b><br/>Morning After Dark</a>,W 8 | P 21,21,14.02.2010
VW 21,Lady Gaga</b><br/>Paparazzi</a>,W 23 | P 4,22,14.02.2010
VW 26,Frauenarzt &amp; Manny Marc</b><br/>Das geht ab! (Wir feiern die ganze Nacht)</a>,W 27 | P 13,23,14.02.2010
neu,Iyaz</b><br/>Replay</a>,W 1 | P 24,24,14.02.2010
VW 11,Baschi</b><br/>Unsterblich</a>,W 2 | P 11,25,14.02.2010
VW 31,Lady Gaga</b><br/>Poker Face</a>,W 57 | P 1,26,14.02.2010
VW 33,David Guetta feat. Kelly Rowland</b><br/>When Love Takes Over</a>,W 40 | P 1,27,14.02.2010
VW 24,Beyoncé</b><br/>Halo</a>,W 43 | P 4,28,14.02.2010
VW 32,Milow</b><br/>You Don't Know</a>,W 28 | P 8,29,14.02.2010
re,Nickelback</b><br/>If Today Was Your Last Day</a>,W 6 | P 30,30,14.02.2010
VW 30,Muse</b><br/>Undisclosed Desires</a>,W 9 | P 30,31,14.02.2010
VW 29,Stress</b><br/>Si loin</a>,W 10 | P 16,32,14.02.2010
VW 43,Stanfour</b><br/>In Your Arms</a>,W 18 | P 21,33,14.02.2010
VW 23,Alicia Keys</b><br/>Doesn't Mean Anything</a>,W 10 | P 5,34,14.02.2010
VW 49,Die Atzen (Frauenarzt &amp; Manny Marc)</b><br/>Disco Pogo</a>,W 3 | P 35,35,14.02.2010
VW 48,Leona Lewis</b><br/>Happy</a>,W 12 | P 4,36,14.02.2010
VW 38,Christophe Maé</b><br/>Dingue| dingue| dingue</a>,W 2 | P 37,37,14.02.2010
VW 27,Agnes</b><br/>Release Me</a>,W 23 | P 5,38,14.02.2010
neu,P!nk</b><br/>I Don't Believe You</a>,W 1 | P 39,39,14.02.2010
VW 36,Muse</b><br/>Uprising</a>,W 25 | P 8,40,14.02.2010
VW 45,Guru Josh Project</b><br/>Infinity 2008</a>,W 71 | P 2,41,14.02.2010
VW 39,Xavier Naidoo</b><br/>Alles kann besser werden</a>,W 15 | P 28,42,14.02.2010
VW 37,Britney Spears</b><br/>3</a>,W 12 | P 8,43,14.02.2010
VW 35,Mika</b><br/>Rain</a>,W 15 | P 28,44,14.02.2010
VW 42,Cascada</b><br/>Evacuate The Dancefloor</a>,W 29 | P 7,45,14.02.2010
VW 34,The Black Eyed Peas</b><br/>Boom Boom Pow</a>,W 42 | P 4,46,14.02.2010
VW 50,Dada Ante Portas</b><br/>I Would Give You My Love</a>,W 3 | P 47,47,14.02.2010
VW 67,Stanfour</b><br/>Wishing You Well</a>,W 3 | P 48,48,14.02.2010
VW 28,Marit Larsen</b><br/>If A Song Could Get Me You</a>,W 27 | P 2,49,14.02.2010
VW 52,Pitbull</b><br/>I Know You Want Me (Calle Ocho)</a>,W 33 | P 2,50,14.02.2010
VW 46,Robbie Williams</b><br/>Bodies</a>,W 16 | P 1,51,14.02.2010
VW 65,Jay Sean feat. Lil Wayne</b><br/>Down</a>,W 16 | P 47,52,14.02.2010
VW 41,Michael Bublé</b><br/>Haven't Met You Yet</a>,W 13 | P 37,53,14.02.2010
neu,Jovanotti</b><br/>Baciami ancora</a>,W 1 | P 54,54,14.02.2010
VW 56,Naturi Naughton</b><br/>Fame</a>,W 6 | P 24,55,14.02.2010
VW 44,Culcha Candela</b><br/>Schöne neue Welt</a>,W 20 | P 27,56,14.02.2010
VW 60,Miley Cyrus</b><br/>Party In The U.S.A.</a>,W 17 | P 41,57,14.02.2010
VW 58,Gossip</b><br/>Love Long Distance</a>,W 5 | P 55,58,14.02.2010
VW 51,Flo Rida feat. Ke$ha</b><br/>Right Round</a>,W 48 | P 2,59,14.02.2010
VW 55,Agnes</b><br/>On And On</a>,W 13 | P 37,60,14.02.2010
VW 63,Beyoncé</b><br/>Sweet Dreams</a>,W 25 | P 16,61,14.02.2010
VW 61,David Guetta feat. Estelle</b><br/>One Love</a>,W 8 | P 48,62,14.02.2010
re,Jay-Z + Mr Hudson</b><br/>Young Forever</a>,W 2 | P 44,63,14.02.2010
VW 54,Pitbull</b><br/>Hotel Room Service</a>,W 22 | P 11,64,14.02.2010
VW 57,Green Day</b><br/>21 Guns</a>,W 29 | P 13,65,14.02.2010
VW 59,Robbie Williams</b><br/>You Know Me</a>,W 7 | P 51,66,14.02.2010
VW 64,Cur de Pirate &amp; Julien Doré</b><br/>Pour un infidèle</a>,W 2 | P 64,67,14.02.2010
VW 53,Lily Allen</b><br/>Fuck You</a>,W 36 | P 5,68,14.02.2010
VW 66,Bligg</b><br/>Rosalie</a>,W 67 | P 5,69,14.02.2010
VW 47,Timbaland Presents OneRepublic</b><br/>Apologize</a>,W 83 | P 1,70,14.02.2010
VW 68,P!nk</b><br/>Funhouse</a>,W 17 | P 8,71,14.02.2010
VW 72,Jodlerklub Wiesenberg &amp; Francine Jordi</b><br/>Das Feyr vo dr Sehnsucht</a>,W 58 | P 1,72,14.02.2010
VW 62,Shakira</b><br/>She Wolf</a>,W 22 | P 3,73,14.02.2010
re,Charlie Winston</b><br/>Like A Hobo</a>,W 40 | P 27,74,14.02.2010
re,Beyoncé</b><br/>Single Ladies (Put A Ring On It)</a>,W 22 | P 40,75,14.02.2010
VW 1,Ke$ha</b><br/>TiK ToK</a>,W 8 | P 1,1,21.02.2010
VW 3,Edward Maya &amp; Vika Jigulina</b><br/>Stereo Love</a>,W 4 | P 2,2,21.02.2010
VW 2,Aura Dione</b><br/>I Will Love You Monday (365)</a>,W 10 | P 2,3,21.02.2010
VW 4,Lady Gaga</b><br/>Bad Romance</a>,W 14 | P 2,4,21.02.2010
VW 5,Owl City</b><br/>Fireflies</a>,W 9 | P 5,5,21.02.2010
VW 6,Melanie Fiona</b><br/>Monday Morning</a>,W 17 | P 1,6,21.02.2010
VW 7,Jay-Z + Alicia Keys</b><br/>Empire State Of Mind</a>,W 21 | P 4,7,21.02.2010
VW 8,The Black Eyed Peas</b><br/>Meet Me Halfway</a>,W 17 | P 3,8,21.02.2010
VW 9,Rihanna</b><br/>Russian Roulette</a>,W 13 | P 1,9,21.02.2010
VW 12,Jason Derulo</b><br/>Whatcha Say</a>,W 5 | P 10,10,21.02.2010
VW 10,The Black Eyed Peas</b><br/>I Gotta Feeling</a>,W 31 | P 1,11,21.02.2010
VW 14,OneRepublic</b><br/>All The Right Moves</a>,W 16 | P 2,12,21.02.2010
VW 24,Iyaz</b><br/>Replay</a>,W 2 | P 13,13,21.02.2010
neu,DJ BoBo</b><br/>Superstar</a>,W 1 | P 14,14,21.02.2010
VW 13,Culcha Candela</b><br/>Monsta</a>,W 11 | P 13,15,21.02.2010
VW 15,Gossip</b><br/>Heavy Cross</a>,W 35 | P 2,16,21.02.2010
VW 18,Ich + Ich</b><br/>Pflaster</a>,W 12 | P 6,17,21.02.2010
VW 11,David Guetta feat. Akon</b><br/>Sexy Bitch</a>,W 28 | P 2,18,21.02.2010
VW 19,Keri Hilson</b><br/>I Like</a>,W 8 | P 18,19,21.02.2010
neu,Bushido</b><br/>Alles wird gut</a>,W 1 | P 20,20,21.02.2010
VW 17,Paloma Faith</b><br/>New York</a>,W 13 | P 15,21,21.02.2010
VW 25,Baschi</b><br/>Unsterblich</a>,W 3 | P 11,22,21.02.2010
VW 20,OneRepublic</b><br/>Secrets</a>,W 12 | P 19,23,21.02.2010
VW 16,Alexandra Burke feat. Flo Rida</b><br/>Bad Boys</a>,W 4 | P 12,24,21.02.2010
neu,Sade</b><br/>Soldier Of Love</a>,W 1 | P 25,25,21.02.2010
VW 23,Frauenarzt &amp; Manny Marc</b><br/>Das geht ab! (Wir feiern die ganze Nacht)</a>,W 28 | P 13,26,21.02.2010
VW 21,Timbaland feat. Nelly Furtado &amp; SoShy</b><br/>Morning After Dark</a>,W 9 | P 21,27,21.02.2010
VW 22,Lady Gaga</b><br/>Paparazzi</a>,W 24 | P 4,28,21.02.2010
VW 31,Muse</b><br/>Undisclosed Desires</a>,W 10 | P 29,29,21.02.2010
VW 26,Lady Gaga</b><br/>Poker Face</a>,W 58 | P 1,30,21.02.2010
VW 35,Die Atzen (Frauenarzt &amp; Manny Marc)</b><br/>Disco Pogo</a>,W 4 | P 31,31,21.02.2010
neu,Stromae</b><br/>Alors on danse</a>,W 1 | P 32,32,21.02.2010
VW 30,Nickelback</b><br/>If Today Was Your Last Day</a>,W 7 | P 30,33,21.02.2010
VW 38,Agnes</b><br/>Release Me</a>,W 24 | P 5,34,21.02.2010
VW 28,Beyoncé</b><br/>Halo</a>,W 44 | P 4,35,21.02.2010
VW 39,P!nk</b><br/>I Don't Believe You</a>,W 2 | P 36,36,21.02.2010
VW 37,Christophe Maé</b><br/>Dingue| dingue| dingue</a>,W 3 | P 37,37,21.02.2010
VW 41,Guru Josh Project</b><br/>Infinity 2008</a>,W 72 | P 2,38,21.02.2010
VW 29,Milow</b><br/>You Don't Know</a>,W 29 | P 8,39,21.02.2010
VW 40,Muse</b><br/>Uprising</a>,W 26 | P 8,40,21.02.2010
neu,Massive Attack feat. Hope Sandoval</b><br/>Paradise Circus</a>,W 1 | P 41,41,21.02.2010
VW 27,David Guetta feat. Kelly Rowland</b><br/>When Love Takes Over</a>,W 41 | P 1,42,21.02.2010
neu,Cheryl Cole</b><br/>Fight For This Love</a>,W 1 | P 43,43,21.02.2010
VW 42,Xavier Naidoo</b><br/>Alles kann besser werden</a>,W 16 | P 28,44,21.02.2010
VW 36,Leona Lewis</b><br/>Happy</a>,W 13 | P 4,45,21.02.2010
VW 34,Alicia Keys</b><br/>Doesn't Mean Anything</a>,W 11 | P 5,46,21.02.2010
neu,David Guetta feat. Kid Cudi</b><br/>Memories</a>,W 1 | P 47,47,21.02.2010
VW 56,Culcha Candela</b><br/>Schöne neue Welt</a>,W 21 | P 27,48,21.02.2010
VW 32,Stress</b><br/>Si loin</a>,W 11 | P 16,49,21.02.2010
VW 52,Jay Sean feat. Lil Wayne</b><br/>Down</a>,W 17 | P 47,50,21.02.2010
VW 63,Jay-Z + Mr Hudson</b><br/>Young Forever</a>,W 3 | P 44,51,21.02.2010
VW 59,Flo Rida feat. Ke$ha</b><br/>Right Round</a>,W 49 | P 2,52,21.02.2010
VW 33,Stanfour</b><br/>In Your Arms</a>,W 19 | P 21,53,21.02.2010
VW 46,The Black Eyed Peas</b><br/>Boom Boom Pow</a>,W 43 | P 4,54,21.02.2010
VW 45,Cascada</b><br/>Evacuate The Dancefloor</a>,W 30 | P 7,55,21.02.2010
VW 51,Robbie Williams</b><br/>Bodies</a>,W 17 | P 1,56,21.02.2010
neu,Gorillaz</b><br/>Stylo</a>,W 1 | P 57,57,21.02.2010
VW 61,Beyoncé</b><br/>Sweet Dreams</a>,W 26 | P 16,58,21.02.2010
VW 44,Mika</b><br/>Rain</a>,W 16 | P 28,59,21.02.2010
VW 50,Pitbull</b><br/>I Know You Want Me (Calle Ocho)</a>,W 34 | P 2,60,21.02.2010
VW 49,Marit Larsen</b><br/>If A Song Could Get Me You</a>,W 28 | P 2,61,21.02.2010
